%time,field.x,field.y,field.z
1510744900096295118,0.6,0.6,0.6
1510744900097282886,0.6,0.6,0.6
1510744900099715948,0.6,0.6,0.6
1510744900105391979,0.6,0.6,0.6
1510744900111274003,0.6,0.6,0.6
1510744900118977069,0.6,0.6,0.6
1510744900127809047,0.6,0.6,0.6
1510744900127989053,0.6,0.6,0.6
1510744900130924940,0.6,0.6,0.6
1510744900136496067,0.6,0.6,0.6
1510744900141717910,0.6,0.6,0.6
1510744900149626016,0.6,0.6,0.6
1510744900155438899,0.6,0.6,0.6
1510744900160661935,0.6,0.6,0.6
1510744900160834074,0.6,0.6,0.6
1510744900166095972,0.6,0.6,0.6
1510744900170108079,0.6,0.6,0.6
1510744900180183887,0.6,0.6,0.6
1510744900185120105,0.6,0.6,0.6
1510744900185905933,0.6,0.6,0.6
1510744900192692995,0.6,0.6,0.6
1510744900195453882,0.6,0.6,0.6
1510744900200016021,0.6,0.6,0.6
1510744900205621957,0.6,0.6,0.6
1510744900209923982,0.6,0.6,0.6
1510744900215543985,0.6,0.6,0.6
1510744900221673965,0.6,0.6,0.6
1510744900232033014,0.6,0.6,0.6
1510744900233179092,0.6,0.6,0.6
1510744900235028028,0.6,0.6,0.6
1510744900240648984,0.6,0.6,0.6
1510744900245702028,0.6,0.6,0.6
1510744900251187086,0.6,0.6,0.6
1510744900259819984,0.6,0.6,0.6
1510744900262598037,0.6,0.6,0.6
1510744900265640020,0.6,0.6,0.6
1510744900271589040,0.6,0.6,0.6
1510744900275593996,0.6,0.6,0.6
1510744900281121015,0.6,0.6,0.6
1510744900289787054,0.6,0.6,0.6
1510744900291182041,0.6,0.6,0.6
1510744900295629024,0.6,0.6,0.6
1510744900300673961,0.6,0.6,0.6
1510744900307590961,0.6,0.6,0.6
1510744900310549974,0.6,0.6,0.6
1510744900316138982,0.6,0.6,0.6
1510744900321161985,0.6,0.6,0.6
1510744900326518058,0.6,0.6,0.6
1510744900343482017,0.6,0.6,0.6
1510744900356884956,0.6,0.6,0.6
1510744900358305931,0.6,0.6,0.6
1510744900358675956,0.6,0.6,0.6
1510744900359765052,0.6,0.6,0.6
1510744900363183975,0.6,0.6,0.6
1510744900371686935,0.6,0.6,0.6
1510744900372415065,0.6,0.6,0.6
1510744900373478889,0.6,0.6,0.6
1510744900375513076,0.6,0.6,0.6
1510744900380454063,0.6,0.6,0.6
