%time,field.x,field.y,field.z
1510748674164468050,0.0,0.6,-0.0
1510748674178090095,0.0,0.6,-0.0
1510748674179658889,0.0,0.6,-0.0
1510748674179794073,0.0,0.6,-0.0
1510748674183320045,0.0,0.6,-0.0
1510748674187222003,0.0,0.6,-0.0
1510748674192389011,0.0,0.6,-0.0
1510748674198518037,0.0,0.6,-0.0
1510748674204355955,0.0,0.6,-0.0
1510748674210855007,0.0,0.6,-0.0
1510748674213387966,0.0,0.6,-0.0
1510748674217298984,0.0,0.6,-0.0
1510748674222805976,0.0,0.6,-0.0
1510748674227518081,0.0,0.6,-0.0
1510748674236428022,0.0,0.6,-0.0
1510748674243333101,0.0,0.6,-0.0
1510748674244817018,0.0,0.6,-0.0
1510748674247386932,0.0,0.6,-0.0
1510748674253504037,0.0,0.6,-0.0
1510748674258040904,0.0,0.6,-0.0
1510748674270426988,0.0,0.6,-0.0
1510748674271473884,0.0,0.6,-0.0
1510748674272794961,0.0,0.6,-0.0
1510748674277631998,0.0,0.6,-0.0
1510748674282903909,0.0,0.6,-0.0
1510748674287272930,0.0,0.6,-0.0
1510748674293346881,0.0,0.6,-0.0
1510748674300226926,0.0,0.6,-0.0
1510748674302849054,0.0,0.6,-0.0
1510748674308331966,0.0,0.6,-0.0
1510748674312813043,0.0,0.6,-0.0
1510748674317789077,0.0,0.6,-0.0
1510748674323455095,0.0,0.6,-0.0
1510748674331253051,0.0,0.6,-0.0
1510748674335896015,0.0,0.6,-0.0
1510748674337806940,0.0,0.6,-0.0
1510748674344358921,0.0,0.6,-0.0
1510748674347862958,0.0,0.6,-0.0
1510748674353198051,0.0,0.6,-0.0
1510748674357400894,0.0,0.6,-0.0
1510748674363882064,0.0,0.6,-0.0
1510748674368350028,0.0,0.6,-0.0
1510748674399451971,0.0,0.6,-0.0
1510748674400537014,0.0,0.6,-0.0
1510748674401861906,0.0,0.6,-0.0
1510748674403173923,0.0,0.6,-0.0
1510748674414396047,0.0,0.6,-0.0
1510748674415277004,0.0,0.6,-0.0
1510748674416275024,0.0,0.6,-0.0
1510748674417922973,0.0,0.6,-0.0
1510748674424197912,0.0,0.6,-0.0
1510748674428307056,0.0,0.6,-0.0
1510748674439538955,0.0,0.6,-0.0
1510748674440274953,0.0,0.6,-0.0
1510748674445350885,0.0,0.6,-0.0
1510748674448415040,0.0,0.6,-0.0
1510748674453526020,0.0,0.6,-0.0
1510748674458842992,0.0,0.6,-0.0
1510748674465279102,0.0,0.6,-0.0
1510748674468339920,0.0,0.6,-0.0
1510748674473335027,0.0,0.6,-0.0
1510748674477844953,0.0,0.6,-0.0
1510748674483995914,0.0,0.6,-0.0
1510748674495403051,0.0,0.6,-0.0
1510748674496891021,0.0,0.6,-0.0
1510748674498265981,0.0,0.6,-0.0
1510748674503388881,0.0,0.6,-0.0
1510748674508383035,0.0,0.6,-0.0
1510748674513384103,0.0,0.6,-0.0
1510748674519349098,0.0,0.6,-0.0
1510748674526732921,0.0,0.6,-0.0
1510748674528372049,0.0,0.6,-0.0
1510748674534152984,0.0,0.6,-0.0
1510748674538358926,0.0,0.6,-0.0
1510748674543313980,0.0,0.6,-0.0
1510748674549767971,0.0,0.6,-0.0
1510748674556410074,0.0,0.6,-0.0
1510748674559941053,0.0,0.6,-0.0
1510748674563949108,0.0,0.6,-0.0
1510748674568334102,0.0,0.6,-0.0
1510748674573843955,0.0,0.6,-0.0
1510748674578847885,0.0,0.6,-0.0
1510748674583379030,0.0,0.6,-0.0
1510748674589222908,0.0,0.6,-0.0
1510748674596708059,0.0,0.6,-0.0
1510748674603880882,0.0,0.6,-0.0
1510748674605321884,0.0,0.6,-0.0
1510748674611275911,0.0,0.6,-0.0
1510748674614886999,0.0,0.6,-0.0
1510748674618321895,0.0,0.6,-0.0
1510748674625319957,0.0,0.6,-0.0
1510748674633857011,0.0,0.6,-0.0
1510748674636408090,0.0,0.6,-0.0
1510748674638343095,0.0,0.6,-0.0
1510748674644869089,0.0,0.6,-0.0
1510748674650067090,0.0,0.6,-0.0
1510748674657903909,0.0,0.6,-0.0
1510748674663882017,0.0,0.6,-0.0
1510748674664599895,0.0,0.6,-0.0
1510748674668937921,0.0,0.6,-0.0
1510748674673966884,0.0,0.6,-0.0
1510748674678327083,0.0,0.6,-0.0
1510748674688905954,0.0,0.6,-0.0
1510748674694880962,0.0,0.6,-0.0
1510748674695955038,0.0,0.6,-0.0
1510748674702368974,0.0,0.6,-0.0
1510748674703821897,0.0,0.6,-0.0
1510748674709297895,0.0,0.6,-0.0
1510748674714591026,0.0,0.6,-0.0
1510748674723984003,0.0,0.6,-0.0
1510748674724771022,0.0,0.6,-0.0
1510748674729331970,0.0,0.6,-0.0
1510748674734020948,0.0,0.6,-0.0
1510748674740298032,0.0,0.6,-0.0
1510748674748003005,0.0,0.6,-0.0
1510748674755945920,0.0,0.6,-0.0
1510748674757369041,0.0,0.6,-0.0
1510748674759820938,0.0,0.6,-0.0
1510748674766902923,0.0,0.6,-0.0
1510748674768769979,0.0,0.6,-0.0
1510748674774549007,0.0,0.6,-0.0
1510748674778969049,0.0,0.6,-0.0
1510748674783991098,0.0,0.6,-0.0
1510748674789201974,0.0,0.6,-0.0
1510748674800661087,0.0,0.6,-0.0
1510748674801399946,0.0,0.6,-0.0
1510748674803875923,0.0,0.6,-0.0
1510748674809470891,0.0,0.6,-0.0
1510748674814460992,0.0,0.6,-0.0
1510748674820434093,0.0,0.6,-0.0
1510748674829423904,0.0,0.6,-0.0
1510748674831111907,0.0,0.6,-0.0
1510748674833828926,0.0,0.6,-0.0
1510748674838845014,0.0,0.6,-0.0
1510748674844695091,0.0,0.6,-0.0
1510748674848829030,0.0,0.6,-0.0
1510748674856036901,0.0,0.6,-0.0
1510748674859396934,0.0,0.6,-0.0
1510748674875474929,0.0,0.6,-0.0
1510748674892915010,0.0,0.6,-0.0
1510748674894443988,0.0,0.6,-0.0
1510748674895755052,0.0,0.6,-0.0
1510748674896898031,0.0,0.6,-0.0
1510748674904525995,0.0,0.6,-0.0
1510748674906877994,0.0,0.6,-0.0
1510748674908252000,0.0,0.6,-0.0
1510748674910305023,0.0,0.6,-0.0
1510748674916851997,0.0,0.6,-0.0
1510748674919830083,0.0,0.6,-0.0
1510748674924909114,0.0,0.6,-0.0
1510748674929577112,0.0,0.6,-0.0
1510748674934324979,0.0,0.6,-0.0
1510748674944756984,0.0,0.6,-0.0
1510748674947948932,0.0,0.6,-0.0
1510748674949799060,0.0,0.6,-0.0
1510748674955095052,0.0,0.6,-0.0
1510748674960319042,0.0,0.6,-0.0
1510748674964339971,0.0,0.6,-0.0
1510748674969650030,0.0,0.6,-0.0
1510748674977369070,0.0,0.6,-0.0
1510748674979372024,0.0,0.6,-0.0
1510748674988507986,0.0,0.6,-0.0
1510748674991828918,0.0,0.6,-0.0
1510748674995307922,0.0,0.6,-0.0
1510748674999377965,0.0,0.6,-0.0
1510748675005028009,0.0,0.6,-0.0
1510748675009310007,0.0,0.6,-0.0
1510748675015381097,0.0,0.6,-0.0
1510748675027007102,0.0,0.6,-0.0
1510748675027743101,0.0,0.6,-0.0
1510748675029542922,0.0,0.6,-0.0
1510748675037384033,0.0,0.6,-0.0
1510748675039401054,0.0,0.6,-0.0
1510748675046603918,0.0,0.6,-0.0
1510748675053064107,0.0,0.6,-0.0
1510748675060167074,0.0,0.6,-0.0
1510748675061422109,0.0,0.6,-0.0
1510748675064620971,0.0,0.6,-0.0
1510748675069458961,0.0,0.6,-0.0
1510748675076962947,0.0,0.6,-0.0
1510748675082940101,0.0,0.6,-0.0
1510748675085727930,0.0,0.6,-0.0
1510748675090604066,0.0,0.6,-0.0
1510748675094927072,0.0,0.6,-0.0
1510748675100521087,0.0,0.6,-0.0
1510748675105907917,0.0,0.6,-0.0
1510748675112445116,0.0,0.6,-0.0
1510748675116549015,0.0,0.6,-0.0
1510748675119914054,0.0,0.6,-0.0
1510748675125000953,0.0,0.6,-0.0
1510748675130086898,0.0,0.6,-0.0
1510748675140014886,0.0,0.6,-0.0
1510748675143955945,0.0,0.6,-0.0
1510748675145081043,0.0,0.6,-0.0
1510748675150485038,0.0,0.6,-0.0
1510748675155725002,0.0,0.6,-0.0
1510748675159940958,0.0,0.6,-0.0
1510748675166976928,0.0,0.6,-0.0
1510748675174254894,0.0,0.6,-0.0
1510748675179155111,0.0,0.6,-0.0
1510748675181443929,0.0,0.6,-0.0
1510748675189016103,0.0,0.6,-0.0
1510748675189884901,0.0,0.6,-0.0
1510748675195177078,0.0,0.6,-0.0
1510748675199913024,0.0,0.6,-0.0
1510748675205271959,0.0,0.6,-0.0
1510748675210428953,0.0,0.6,-0.0
1510748675218101978,0.0,0.6,-0.0
1510748675220451116,0.0,0.6,-0.0
1510748675224905014,0.0,0.6,-0.0
1510748675231065034,0.0,0.6,-0.0
1510748675235707044,0.0,0.6,-0.0
1510748675247612953,0.0,0.6,-0.0
1510748675248547077,0.0,0.6,-0.0
1510748675253484010,0.0,0.6,-0.0
1510748675255453109,0.0,0.6,-0.0
1510748675259943962,0.0,0.6,-0.0
1510748675265511989,0.0,0.6,-0.0
1510748675272185087,0.0,0.6,-0.0
1510748675279903888,0.0,0.6,-0.0
1510748675280966997,0.0,0.6,-0.0
1510748675286058902,0.0,0.6,-0.0
1510748675290436983,0.0,0.6,-0.0
1510748675296176910,0.0,0.6,-0.0
1510748675302057981,0.0,0.6,-0.0
1510748675308579921,0.0,0.6,-0.0
1510748675310563087,0.0,0.6,-0.0
1510748675315536975,0.0,0.6,-0.0
1510748675319925069,0.0,0.6,-0.0
1510748675325500011,0.0,0.6,-0.0
1510748675330487012,0.0,0.6,-0.0
1510748675335496902,0.0,0.6,-0.0
1510748675344692945,0.0,0.6,-0.0
1510748675347058057,0.0,0.6,-0.0
1510748675367825984,0.0,0.6,-0.0
1510748675383608102,0.0,0.6,-0.0
1510748675384586095,0.0,0.6,-0.0
1510748675385531902,0.0,0.6,-0.0
1510748675390995025,0.0,0.6,-0.0
1510748675395994901,0.0,0.6,-0.0
1510748675396888017,0.0,0.6,-0.0
1510748675397882938,0.0,0.6,-0.0
1510748675399734973,0.0,0.6,-0.0
1510748675400449991,0.0,0.6,-0.0
1510748675406855106,0.0,0.6,-0.0
1510748675415052890,0.0,0.6,-0.0
1510748675416465997,0.0,0.6,-0.0
1510748675420789957,0.0,0.6,-0.0
1510748675425688028,0.0,0.6,-0.0
1510748675430625915,0.0,0.6,-0.0
1510748675443782091,0.0,0.6,-0.0
1510748675446036100,0.0,0.6,-0.0
1510748675446341991,0.0,0.6,-0.0
1510748675450548887,0.0,0.6,-0.0
1510748675456113100,0.0,0.6,-0.0
1510748675460603952,0.0,0.6,-0.0
1510748675466831922,0.0,0.6,-0.0
1510748675477072000,0.0,0.6,-0.0
1510748675477982997,0.0,0.6,-0.0
1510748675481319904,0.0,0.6,-0.0
1510748675486273050,0.0,0.6,-0.0
1510748675492883920,0.0,0.6,-0.0
1510748675498092889,0.0,0.6,-0.0
1510748675508486986,0.0,0.6,-0.0
1510748675509228944,0.0,0.6,-0.0
1510748675511112928,0.0,0.6,-0.0
1510748675516176939,0.0,0.6,-0.0
1510748675520781040,0.0,0.6,-0.0
1510748675529280900,0.0,0.6,-0.0
1510748675535669088,0.0,0.6,-0.0
1510748675536751985,0.0,0.6,-0.0
1510748675543909072,0.0,0.6,-0.0
1510748675546610116,0.0,0.6,-0.0
1510748675551145076,0.0,0.6,-0.0
1510748675561970949,0.0,0.6,-0.0
1510748675565619945,0.0,0.6,-0.0
1510748675567074060,0.0,0.6,-0.0
1510748675573705911,0.0,0.6,-0.0
1510748675576597929,0.0,0.6,-0.0
1510748675581315040,0.0,0.6,-0.0
1510748675586149930,0.0,0.6,-0.0
1510748675591089963,0.0,0.6,-0.0
1510748675596630096,0.0,0.6,-0.0
1510748675601670026,0.0,0.6,-0.0
1510748675610577106,0.0,0.6,-0.0
1510748675612015962,0.0,0.6,-0.0
1510748675620095014,0.0,0.6,-0.0
1510748675622071027,0.0,0.6,-0.0
1510748675626101970,0.0,0.6,-0.0
1510748675631977081,0.0,0.6,-0.0
1510748675640099048,0.0,0.6,-0.0
1510748675642030954,0.0,0.6,-0.0
1510748675646083116,0.0,0.6,-0.0
1510748675651324987,0.0,0.6,-0.0
1510748675656742095,0.0,0.6,-0.0
1510748675662081956,0.0,0.6,-0.0
1510748675671602010,0.0,0.6,-0.0
1510748675674037933,0.0,0.6,-0.0
1510748675676588058,0.0,0.6,-0.0
1510748675681144952,0.0,0.6,-0.0
1510748675687212944,0.0,0.6,-0.0
1510748675692363023,0.0,0.6,-0.0
1510748675700043916,0.0,0.6,-0.0
1510748675702539920,0.0,0.6,-0.0
1510748675706794023,0.0,0.6,-0.0
