%time,field.x,field.y,field.z
1510746646423506021,0.2,0.0,-0.0
1510746646431943893,0.2,0.0,-0.0
1510746646437568902,0.2,0.0,-0.0
1510746646438023090,0.2,0.0,-0.0
1510746646443391084,0.2,0.0,-0.0
1510746646446815013,0.2,0.0,-0.0
1510746646451941967,0.2,0.0,-0.0
1510746646457621097,0.2,0.0,-0.0
1510746646466006994,0.2,0.0,-0.0
1510746646466778993,0.2,0.0,-0.0
1510746646474390983,0.2,0.0,-0.0
1510746646476285934,0.2,0.0,-0.0
1510746646483936071,0.2,0.0,-0.0
1510746646490504980,0.2,0.0,-0.0
1510746646494858980,0.2,0.0,-0.0
1510746646496797084,0.2,0.0,-0.0
1510746646502377986,0.2,0.0,-0.0
1510746646506809949,0.2,0.0,-0.0
1510746646511969089,0.2,0.0,-0.0
1510746646519926071,0.2,0.0,-0.0
1510746646524386882,0.2,0.0,-0.0
1510746646526829957,0.2,0.0,-0.0
1510746646535284042,0.2,0.0,-0.0
1510746646538908958,0.2,0.0,-0.0
1510746646544230937,0.2,0.0,-0.0
1510746646546480894,0.2,0.0,-0.0
1510746646552105903,0.2,0.0,-0.0
1510746646557455062,0.2,0.0,-0.0
1510746646563684940,0.2,0.0,-0.0
1510746646582206010,0.2,0.0,-0.0
1510746646583079099,0.2,0.0,-0.0
1510746646583834886,0.2,0.0,-0.0
1510746646586360931,0.2,0.0,-0.0
1510746646587347984,0.2,0.0,-0.0
1510746646592860937,0.2,0.0,-0.0
1510746646600836038,0.2,0.0,-0.0
1510746646602791070,0.2,0.0,-0.0
1510746646606945991,0.2,0.0,-0.0
1510746646612344980,0.2,0.0,-0.0
1510746646617419958,0.2,0.0,-0.0
1510746646623948097,0.2,0.0,-0.0
1510746646628907918,0.2,0.0,-0.0
1510746646635070085,0.2,0.0,-0.0
1510746646637765884,0.2,0.0,-0.0
1510746646642307996,0.2,0.0,-0.0
1510746646648680925,0.2,0.0,-0.0
1510746646654381990,0.2,0.0,-0.0
1510746646662144899,0.2,0.0,-0.0
1510746646662853956,0.2,0.0,-0.0
1510746646667737007,0.2,0.0,-0.0
1510746646672379016,0.2,0.0,-0.0
1510746646677393913,0.2,0.0,-0.0
1510746646684324979,0.2,0.0,-0.0
1510746646691447019,0.2,0.0,-0.0
1510746646693881988,0.2,0.0,-0.0
1510746646698247909,0.2,0.0,-0.0
1510746646702398061,0.2,0.0,-0.0
1510746646708600044,0.2,0.0,-0.0
1510746646716233968,0.2,0.0,-0.0
1510746646719432115,0.2,0.0,-0.0
1510746646722322940,0.2,0.0,-0.0
1510746646728274106,0.2,0.0,-0.0
1510746646734880924,0.2,0.0,-0.0
1510746646737498998,0.2,0.0,-0.0
1510746646742835998,0.2,0.0,-0.0
1510746646748367071,0.2,0.0,-0.0
1510746646752825975,0.2,0.0,-0.0
1510746646761790990,0.2,0.0,-0.0
1510746646765868902,0.2,0.0,-0.0
1510746646767843008,0.2,0.0,-0.0
1510746646776897907,0.2,0.0,-0.0
1510746646778208017,0.2,0.0,-0.0
1510746646784863948,0.2,0.0,-0.0
1510746646788480043,0.2,0.0,-0.0
1510746646796153068,0.2,0.0,-0.0
1510746646798098087,0.2,0.0,-0.0
1510746646803152084,0.2,0.0,-0.0
1510746646807959079,0.2,0.0,-0.0
1510746646813594102,0.2,0.0,-0.0
1510746646819140911,0.2,0.0,-0.0
1510746646824857950,0.2,0.0,-0.0
1510746646828622102,0.2,0.0,-0.0
1510746646835433959,0.2,0.0,-0.0
1510746646837867021,0.2,0.0,-0.0
1510746646844173908,0.2,0.0,-0.0
1510746646848355054,0.2,0.0,-0.0
1510746646856384038,0.2,0.0,-0.0
1510746646859111070,0.2,0.0,-0.0
1510746646863848924,0.2,0.0,-0.0
1510746646868134975,0.2,0.0,-0.0
1510746646872414112,0.2,0.0,-0.0
1510746646878047943,0.2,0.0,-0.0
1510746646888036966,0.2,0.0,-0.0
1510746646889175891,0.2,0.0,-0.0
1510746646893389940,0.2,0.0,-0.0
1510746646899796962,0.2,0.0,-0.0
1510746646903314113,0.2,0.0,-0.0
1510746646908562898,0.2,0.0,-0.0
1510746646915508985,0.2,0.0,-0.0
1510746646918081998,0.2,0.0,-0.0
1510746646923198938,0.2,0.0,-0.0
1510746646928430080,0.2,0.0,-0.0
1510746646936314105,0.2,0.0,-0.0
1510746646939035892,0.2,0.0,-0.0
1510746646942846059,0.2,0.0,-0.0
1510746646948122024,0.2,0.0,-0.0
1510746646957411050,0.2,0.0,-0.0
1510746646960069894,0.2,0.0,-0.0
1510746646962882995,0.2,0.0,-0.0
1510746646968419075,0.2,0.0,-0.0
1510746646972807884,0.2,0.0,-0.0
1510746646977776050,0.2,0.0,-0.0
1510746646988935947,0.2,0.0,-0.0
1510746646992305994,0.2,0.0,-0.0
1510746646994381904,0.2,0.0,-0.0
1510746646998398065,0.2,0.0,-0.0
1510746647003686904,0.2,0.0,-0.0
1510746647008622884,0.2,0.0,-0.0
1510746647014477968,0.2,0.0,-0.0
1510746647020849943,0.2,0.0,-0.0
1510746647024894952,0.2,0.0,-0.0
1510746647028345108,0.2,0.0,-0.0
1510746647035120964,0.2,0.0,-0.0
1510746647037869930,0.2,0.0,-0.0
1510746647043414115,0.2,0.0,-0.0
1510746647048592090,0.2,0.0,-0.0
1510746647056605100,0.2,0.0,-0.0
1510746647058383941,0.2,0.0,-0.0
1510746647063963890,0.2,0.0,-0.0
1510746647069109916,0.2,0.0,-0.0
1510746647073889970,0.2,0.0,-0.0
1510746647078792095,0.2,0.0,-0.0
1510746647084784030,0.2,0.0,-0.0
1510746647090116977,0.2,0.0,-0.0
1510746647093305110,0.2,0.0,-0.0
1510746647098382949,0.2,0.0,-0.0
1510746647103943109,0.2,0.0,-0.0
1510746647108882904,0.2,0.0,-0.0
1510746647113383054,0.2,0.0,-0.0
1510746647121448040,0.2,0.0,-0.0
1510746647126782894,0.2,0.0,-0.0
1510746647148569107,0.2,0.0,-0.0
1510746647152797937,0.2,0.0,-0.0
