%time,field.x,field.y,field.z
1510746964666335105,0.2,0.0,-0.0
1510746964666591882,0.2,0.0,-0.0
1510746964672893047,0.2,0.0,-0.0
1510746964673990964,0.2,0.0,-0.0
1510746964686832904,0.2,0.0,-0.0
1510746964700254917,0.2,0.0,-0.0
1510746964701013088,0.2,0.0,-0.0
1510746964701319932,0.2,0.0,-0.0
1510746964701417922,0.2,0.0,-0.0
1510746964704205989,0.2,0.0,-0.0
1510746964709597110,0.2,0.0,-0.0
1510746964714821100,0.2,0.0,-0.0
1510746964719840049,0.2,0.0,-0.0
1510746964724101066,0.2,0.0,-0.0
1510746964729640007,0.2,0.0,-0.0
1510746964740135908,0.2,0.0,-0.0
1510746964740509033,0.2,0.0,-0.0
1510746964745573997,0.2,0.0,-0.0
1510746964749588966,0.2,0.0,-0.0
1510746964754043102,0.2,0.0,-0.0
1510746964762995958,0.2,0.0,-0.0
1510746964767004966,0.2,0.0,-0.0
1510746964770059108,0.2,0.0,-0.0
1510746964774710893,0.2,0.0,-0.0
1510746964780153989,0.2,0.0,-0.0
1510746964784033060,0.2,0.0,-0.0
1510746964791668891,0.2,0.0,-0.0
1510746964798768043,0.2,0.0,-0.0
1510746964800065994,0.2,0.0,-0.0
1510746964804574012,0.2,0.0,-0.0
1510746964810643911,0.2,0.0,-0.0
1510746964815126895,0.2,0.0,-0.0
1510746964822932004,0.2,0.0,-0.0
1510746964827502965,0.2,0.0,-0.0
1510746964830081939,0.2,0.0,-0.0
1510746964835289955,0.2,0.0,-0.0
1510746964839387893,0.2,0.0,-0.0
1510746964848035097,0.2,0.0,-0.0
1510746964852039098,0.2,0.0,-0.0
1510746964857162952,0.2,0.0,-0.0
1510746964860234975,0.2,0.0,-0.0
1510746964865248918,0.2,0.0,-0.0
1510746964870825052,0.2,0.0,-0.0
1510746964874881029,0.2,0.0,-0.0
1510746964881827116,0.2,0.0,-0.0
1510746964889880895,0.2,0.0,-0.0
1510746964891046047,0.2,0.0,-0.0
