%time,field.x,field.y,field.z
1510745189931262016,0.6,0.6,0.6
1510745189931387901,0.6,0.6,0.6
1510745189936769962,0.6,0.6,0.6
1510745189937237024,0.6,0.6,0.6
1510745189941152095,0.6,0.6,0.6
1510745189946053981,0.6,0.6,0.6
1510745189951591968,0.6,0.6,0.6
1510745189959784984,0.6,0.6,0.6
1510745189966149091,0.6,0.6,0.6
1510745189968014001,0.6,0.6,0.6
1510745189970980882,0.6,0.6,0.6
1510745189976329088,0.6,0.6,0.6
1510745189981092929,0.6,0.6,0.6
1510745189995902061,0.6,0.6,0.6
1510745189996501922,0.6,0.6,0.6
1510745189997492074,0.6,0.6,0.6
1510745190002146005,0.6,0.6,0.6
1510745190008152961,0.6,0.6,0.6
1510745190011080980,0.6,0.6,0.6
1510745190016587972,0.6,0.6,0.6
1510745190026112079,0.6,0.6,0.6
1510745190027160882,0.6,0.6,0.6
1510745190034507036,0.6,0.6,0.6
1510745190035981893,0.6,0.6,0.6
1510745190041513919,0.6,0.6,0.6
1510745190052232027,0.6,0.6,0.6
1510745190056767940,0.6,0.6,0.6
1510745190058235883,0.6,0.6,0.6
1510745190061858892,0.6,0.6,0.6
1510745190066504955,0.6,0.6,0.6
1510745190074599027,0.6,0.6,0.6
1510745190092596054,0.6,0.6,0.6
1510745190093565940,0.6,0.6,0.6
1510745190093842029,0.6,0.6,0.6
1510745190093976020,0.6,0.6,0.6
1510745190097246885,0.6,0.6,0.6
1510745190101615905,0.6,0.6,0.6
1510745190106739997,0.6,0.6,0.6
1510745190112607002,0.6,0.6,0.6
1510745190117053031,0.6,0.6,0.6
1510745190121741056,0.6,0.6,0.6
1510745190126601934,0.6,0.6,0.6
1510745190131680011,0.6,0.6,0.6
1510745190136710882,0.6,0.6,0.6
1510745190141675949,0.6,0.6,0.6
1510745190146637916,0.6,0.6,0.6
1510745190151662111,0.6,0.6,0.6
1510745190156526088,0.6,0.6,0.6
1510745190161659002,0.6,0.6,0.6
1510745190166752099,0.6,0.6,0.6
1510745190171740055,0.6,0.6,0.6
1510745190176806926,0.6,0.6,0.6
