%time,field.x,field.y,field.z
1510747807406991958,0.0,0.2,-0.0
1510747807413321018,0.0,0.2,-0.0
1510747807415468931,0.0,0.2,-0.0
1510747807418193101,0.0,0.2,-0.0
1510747807421881914,0.0,0.2,-0.0
1510747807427843093,0.0,0.2,-0.0
1510747807432823896,0.0,0.2,-0.0
1510747807440972089,0.0,0.2,-0.0
1510747807445203065,0.0,0.2,-0.0
1510747807446261882,0.0,0.2,-0.0
1510747807453476905,0.0,0.2,-0.0
1510747807456193923,0.0,0.2,-0.0
1510747807462374925,0.0,0.2,-0.0
1510747807471333026,0.0,0.2,-0.0
1510747807472655057,0.0,0.2,-0.0
1510747807476737976,0.0,0.2,-0.0
1510747807485522031,0.0,0.2,-0.0
1510747807487230062,0.0,0.2,-0.0
1510747807493313074,0.0,0.2,-0.0
1510747807501867055,0.0,0.2,-0.0
1510747807504144906,0.0,0.2,-0.0
1510747807506699085,0.0,0.2,-0.0
1510747807512089014,0.0,0.2,-0.0
1510747807517693042,0.0,0.2,-0.0
1510747807522186040,0.0,0.2,-0.0
1510747807529946088,0.0,0.2,-0.0
1510747807531693935,0.0,0.2,-0.0
1510747807536812067,0.0,0.2,-0.0
1510747807542187929,0.0,0.2,-0.0
1510747807546834945,0.0,0.2,-0.0
1510747807552258968,0.0,0.2,-0.0
1510747807556749105,0.0,0.2,-0.0
1510747807562283992,0.0,0.2,-0.0
1510747807571008920,0.0,0.2,-0.0
1510747807575900077,0.0,0.2,-0.0
1510747807577369928,0.0,0.2,-0.0
1510747807581813097,0.0,0.2,-0.0
1510747807587558031,0.0,0.2,-0.0
1510747807593631982,0.0,0.2,-0.0
1510747807600836038,0.0,0.2,-0.0
1510747807609160900,0.0,0.2,-0.0
1510747807610317945,0.0,0.2,-0.0
1510747807612334966,0.0,0.2,-0.0
1510747807621356964,0.0,0.2,-0.0
1510747807621789932,0.0,0.2,-0.0
1510747807629765033,0.0,0.2,-0.0
1510747807632384061,0.0,0.2,-0.0
1510747807637366056,0.0,0.2,-0.0
1510747807646255970,0.0,0.2,-0.0
1510747807648366928,0.0,0.2,-0.0
1510747807653451919,0.0,0.2,-0.0
1510747807666789054,0.0,0.2,-0.0
1510747807682281017,0.0,0.2,-0.0
1510747807693634986,0.0,0.2,-0.0
1510747807695682048,0.0,0.2,-0.0
1510747807697680950,0.0,0.2,-0.0
1510747807700748920,0.0,0.2,-0.0
1510747807701745033,0.0,0.2,-0.0
1510747807702667951,0.0,0.2,-0.0
1510747807705754041,0.0,0.2,-0.0
1510747807713272094,0.0,0.2,-0.0
1510747807715204954,0.0,0.2,-0.0
1510747807718338966,0.0,0.2,-0.0
1510747807726757049,0.0,0.2,-0.0
1510747807728640079,0.0,0.2,-0.0
1510747807733392953,0.0,0.2,-0.0
1510747807738971948,0.0,0.2,-0.0
1510747807743458986,0.0,0.2,-0.0
1510747807749783992,0.0,0.2,-0.0
1510747807759310960,0.0,0.2,-0.0
1510747807760184049,0.0,0.2,-0.0
1510747807763717889,0.0,0.2,-0.0
1510747807770711898,0.0,0.2,-0.0
1510747807773796081,0.0,0.2,-0.0
1510747807777909994,0.0,0.2,-0.0
1510747807782866954,0.0,0.2,-0.0
