%time,field.x,field.y,field.z
1510749015617141008,0.0,0.6,-0.0
1510749015620527982,0.0,0.6,-0.0
1510749015627564907,0.0,0.6,-0.0
1510749015632582902,0.0,0.6,-0.0
1510749015636651992,0.0,0.6,-0.0
1510749015641092061,0.0,0.6,-0.0
1510749015645582914,0.0,0.6,-0.0
1510749015651138067,0.0,0.6,-0.0
1510749015658444881,0.0,0.6,-0.0
1510749015664618015,0.0,0.6,-0.0
1510749015668709039,0.0,0.6,-0.0
1510749015670634031,0.0,0.6,-0.0
1510749015677673101,0.0,0.6,-0.0
1510749015681840896,0.0,0.6,-0.0
1510749015688354969,0.0,0.6,-0.0
1510749015693145036,0.0,0.6,-0.0
1510749015698122024,0.0,0.6,-0.0
1510749015701134920,0.0,0.6,-0.0
1510749015705609083,0.0,0.6,-0.0
1510749015711124897,0.0,0.6,-0.0
1510749015720166921,0.0,0.6,-0.0
1510749015724631071,0.0,0.6,-0.0
1510749015727583885,0.0,0.6,-0.0
1510749015731149911,0.0,0.6,-0.0
1510749015736131906,0.0,0.6,-0.0
1510749015740705013,0.0,0.6,-0.0
1510749015746767997,0.0,0.6,-0.0
1510749015752012968,0.0,0.6,-0.0
1510749015756110906,0.0,0.6,-0.0
1510749015760550975,0.0,0.6,-0.0
1510749015766649961,0.0,0.6,-0.0
1510749015771058082,0.0,0.6,-0.0
1510749015782035112,0.0,0.6,-0.0
1510749015782545089,0.0,0.6,-0.0
1510749015787189006,0.0,0.6,-0.0
1510749015794598102,0.0,0.6,-0.0
1510749015799119949,0.0,0.6,-0.0
1510749015801314115,0.0,0.6,-0.0
1510749015806668043,0.0,0.6,-0.0
1510749015811888933,0.0,0.6,-0.0
1510749015816557884,0.0,0.6,-0.0
1510749015824136972,0.0,0.6,-0.0
1510749015828557014,0.0,0.6,-0.0
1510749015831545114,0.0,0.6,-0.0
1510749015838618040,0.0,0.6,-0.0
1510749015841114044,0.0,0.6,-0.0
1510749015846162080,0.0,0.6,-0.0
1510749015851875066,0.0,0.6,-0.0
1510749015858087062,0.0,0.6,-0.0
1510749015861080884,0.0,0.6,-0.0
1510749015868240118,0.0,0.6,-0.0
1510749015873074054,0.0,0.6,-0.0
1510749015877751111,0.0,0.6,-0.0
1510749015882705926,0.0,0.6,-0.0
1510749015892173051,0.0,0.6,-0.0
1510749015892283916,0.0,0.6,-0.0
1510749015896563053,0.0,0.6,-0.0
1510749015901691913,0.0,0.6,-0.0
1510749015906583070,0.0,0.6,-0.0
1510749015912630081,0.0,0.6,-0.0
1510749015916619062,0.0,0.6,-0.0
1510749015921152114,0.0,0.6,-0.0
1510749015927700042,0.0,0.6,-0.0
1510749015935590982,0.0,0.6,-0.0
1510749015937073945,0.0,0.6,-0.0
1510749015943706035,0.0,0.6,-0.0
1510749015946036100,0.0,0.6,-0.0
1510749015951725959,0.0,0.6,-0.0
1510749015957638025,0.0,0.6,-0.0
1510749015962646961,0.0,0.6,-0.0
1510749015967892885,0.0,0.6,-0.0
1510749015972630977,0.0,0.6,-0.0
1510749015977839946,0.0,0.6,-0.0
1510749015981664896,0.0,0.6,-0.0
1510749015991681098,0.0,0.6,-0.0
1510749015996151924,0.0,0.6,-0.0
1510749015998616933,0.0,0.6,-0.0
1510749016002665996,0.0,0.6,-0.0
1510749016007304906,0.0,0.6,-0.0
1510749016011565923,0.0,0.6,-0.0
1510749016020881891,0.0,0.6,-0.0
1510749016023583889,0.0,0.6,-0.0
1510749016027086973,0.0,0.6,-0.0
1510749016032233953,0.0,0.6,-0.0
1510749016038151025,0.0,0.6,-0.0
1510749016043581962,0.0,0.6,-0.0
1510749016046632051,0.0,0.6,-0.0
1510749016052681922,0.0,0.6,-0.0
1510749016057842969,0.0,0.6,-0.0
1510749016062705993,0.0,0.6,-0.0
1510749016089221000,0.0,0.6,-0.0
1510749016090070009,0.0,0.6,-0.0
1510749016091557979,0.0,0.6,-0.0
1510749016092189073,0.0,0.6,-0.0
1510749016093050003,0.0,0.6,-0.0
1510749016103671073,0.0,0.6,-0.0
1510749016104235887,0.0,0.6,-0.0
1510749016108468055,0.0,0.6,-0.0
1510749016116133928,0.0,0.6,-0.0
1510749016119023084,0.0,0.6,-0.0
1510749016122636079,0.0,0.6,-0.0
1510749016127418041,0.0,0.6,-0.0
1510749016132113933,0.0,0.6,-0.0
1510749016138087987,0.0,0.6,-0.0
1510749016143543004,0.0,0.6,-0.0
1510749016149224996,0.0,0.6,-0.0
1510749016152069091,0.0,0.6,-0.0
1510749016157269954,0.0,0.6,-0.0
1510749016163038015,0.0,0.6,-0.0
1510749016172236919,0.0,0.6,-0.0
1510749016172840118,0.0,0.6,-0.0
1510749016177814006,0.0,0.6,-0.0
1510749016184073925,0.0,0.6,-0.0
1510749016189553022,0.0,0.6,-0.0
1510749016192526102,0.0,0.6,-0.0
1510749016199728965,0.0,0.6,-0.0
1510749016202101945,0.0,0.6,-0.0
1510749016207602024,0.0,0.6,-0.0
1510749016215724945,0.0,0.6,-0.0
1510749016219093084,0.0,0.6,-0.0
1510749016222543001,0.0,0.6,-0.0
1510749016227154970,0.0,0.6,-0.0
1510749016232711076,0.0,0.6,-0.0
1510749016238277912,0.0,0.6,-0.0
1510749016243164062,0.0,0.6,-0.0
1510749016250624895,0.0,0.6,-0.0
1510749016255098104,0.0,0.6,-0.0
1510749016257661104,0.0,0.6,-0.0
1510749016262029886,0.0,0.6,-0.0
1510749016268858909,0.0,0.6,-0.0
1510749016277868986,0.0,0.6,-0.0
1510749016283601999,0.0,0.6,-0.0
1510749016284538984,0.0,0.6,-0.0
1510749016289458036,0.0,0.6,-0.0
1510749016292764902,0.0,0.6,-0.0
1510749016297588109,0.0,0.6,-0.0
1510749016305128097,0.0,0.6,-0.0
1510749016313091039,0.0,0.6,-0.0
1510749016314033031,0.0,0.6,-0.0
1510749016318670034,0.0,0.6,-0.0
1510749016323129892,0.0,0.6,-0.0
1510749016327656030,0.0,0.6,-0.0
1510749016332676887,0.0,0.6,-0.0
1510749016337084054,0.0,0.6,-0.0
1510749016346323013,0.0,0.6,-0.0
1510749016349872112,0.0,0.6,-0.0
1510749016354887008,0.0,0.6,-0.0
1510749016357884883,0.0,0.6,-0.0
1510749016364447116,0.0,0.6,-0.0
1510749016367912054,0.0,0.6,-0.0
1510749016372397899,0.0,0.6,-0.0
1510749016377953052,0.0,0.6,-0.0
1510749016387499094,0.0,0.6,-0.0
1510749016388340950,0.0,0.6,-0.0
1510749016392443895,0.0,0.6,-0.0
1510749016398408889,0.0,0.6,-0.0
1510749016402467966,0.0,0.6,-0.0
1510749016409921884,0.0,0.6,-0.0
1510749016414869070,0.0,0.6,-0.0
1510749016420377016,0.0,0.6,-0.0
1510749016423089981,0.0,0.6,-0.0
1510749016427881956,0.0,0.6,-0.0
1510749016433135032,0.0,0.6,-0.0
1510749016442697048,0.0,0.6,-0.0
1510749016449449062,0.0,0.6,-0.0
1510749016450397968,0.0,0.6,-0.0
1510749016454154968,0.0,0.6,-0.0
1510749016458755016,0.0,0.6,-0.0
1510749016463433980,0.0,0.6,-0.0
1510749016473614931,0.0,0.6,-0.0
1510749016476885080,0.0,0.6,-0.0
1510749016478358983,0.0,0.6,-0.0
1510749016484817028,0.0,0.6,-0.0
1510749016491794109,0.0,0.6,-0.0
1510749016492831945,0.0,0.6,-0.0
1510749016499896049,0.0,0.6,-0.0
1510749016505378961,0.0,0.6,-0.0
1510749016508510112,0.0,0.6,-0.0
1510749016513489961,0.0,0.6,-0.0
1510749016517939090,0.0,0.6,-0.0
1510749016524897098,0.0,0.6,-0.0
1510749016528402090,0.0,0.6,-0.0
1510749016533066987,0.0,0.6,-0.0
1510749016539915084,0.0,0.6,-0.0
1510749016543404102,0.0,0.6,-0.0
1510749016566101074,0.0,0.6,-0.0
1510749016569410085,0.0,0.6,-0.0
1510749016569593906,0.0,0.6,-0.0
1510749016569621086,0.0,0.6,-0.0
1510749016569715023,0.0,0.6,-0.0
1510749016575845003,0.0,0.6,-0.0
1510749016581459045,0.0,0.6,-0.0
1510749016583801031,0.0,0.6,-0.0
1510749016590961933,0.0,0.6,-0.0
1510749016593337059,0.0,0.6,-0.0
1510749016598905086,0.0,0.6,-0.0
1510749016604943037,0.0,0.6,-0.0
1510749016609764099,0.0,0.6,-0.0
1510749016614006996,0.0,0.6,-0.0
1510749016623532056,0.0,0.6,-0.0
1510749016628107070,0.0,0.6,-0.0
1510749016630244016,0.0,0.6,-0.0
1510749016636286020,0.0,0.6,-0.0
1510749016639786005,0.0,0.6,-0.0
1510749016643774986,0.0,0.6,-0.0
1510749016648828029,0.0,0.6,-0.0
1510749016653242111,0.0,0.6,-0.0
1510749016658808946,0.0,0.6,-0.0
1510749016669848918,0.0,0.6,-0.0
1510749016671329021,0.0,0.6,-0.0
1510749016674312114,0.0,0.6,-0.0
1510749016678783893,0.0,0.6,-0.0
1510749016685826063,0.0,0.6,-0.0
1510749016688301086,0.0,0.6,-0.0
1510749016697465896,0.0,0.6,-0.0
1510749016701237916,0.0,0.6,-0.0
1510749016703269004,0.0,0.6,-0.0
1510749016709352016,0.0,0.6,-0.0
1510749016713985919,0.0,0.6,-0.0
1510749016719414949,0.0,0.6,-0.0
1510749016724020957,0.0,0.6,-0.0
1510749016729294061,0.0,0.6,-0.0
1510749016733963012,0.0,0.6,-0.0
1510749016739810943,0.0,0.6,-0.0
1510749016745915889,0.0,0.6,-0.0
1510749016749105930,0.0,0.6,-0.0
