%time,field.x,field.y,field.z
1510748519858098030,0.0,0.6,-0.0
1510748519858257055,0.0,0.6,-0.0
1510748519864281892,0.0,0.6,-0.0
1510748519864397048,0.0,0.6,-0.0
1510748519871000051,0.0,0.6,-0.0
1510748519872936010,0.0,0.6,-0.0
1510748519877770900,0.0,0.6,-0.0
1510748519886945009,0.0,0.6,-0.0
1510748519889298915,0.0,0.6,-0.0
1510748519892559051,0.0,0.6,-0.0
1510748519897978067,0.0,0.6,-0.0
1510748519904392004,0.0,0.6,-0.0
1510748519907216072,0.0,0.6,-0.0
1510748519913034915,0.0,0.6,-0.0
1510748519918863058,0.0,0.6,-0.0
1510748519922415018,0.0,0.6,-0.0
1510748519929913043,0.0,0.6,-0.0
1510748519934953927,0.0,0.6,-0.0
1510748519937891960,0.0,0.6,-0.0
1510748519942414999,0.0,0.6,-0.0
1510748519947947978,0.0,0.6,-0.0
1510748519955280065,0.0,0.6,-0.0
1510748519958612918,0.0,0.6,-0.0
1510748519964967012,0.0,0.6,-0.0
1510748519967819929,0.0,0.6,-0.0
1510748519975090980,0.0,0.6,-0.0
1510748519978832006,0.0,0.6,-0.0
1510748519982800006,0.0,0.6,-0.0
1510748519988112926,0.0,0.6,-0.0
1510748519994935035,0.0,0.6,-0.0
1510748519998784065,0.0,0.6,-0.0
1510748520002482891,0.0,0.6,-0.0
1510748520009979009,0.0,0.6,-0.0
1510748520013005018,0.0,0.6,-0.0
1510748520020926952,0.0,0.6,-0.0
1510748520027415037,0.0,0.6,-0.0
1510748520028491020,0.0,0.6,-0.0
1510748520033611059,0.0,0.6,-0.0
1510748520037888050,0.0,0.6,-0.0
1510748520043503046,0.0,0.6,-0.0
1510748520049992084,0.0,0.6,-0.0
1510748520055013895,0.0,0.6,-0.0
1510748520060988903,0.0,0.6,-0.0
1510748520063488960,0.0,0.6,-0.0
1510748520067943096,0.0,0.6,-0.0
1510748520074819087,0.0,0.6,-0.0
1510748520079951047,0.0,0.6,-0.0
1510748520086005926,0.0,0.6,-0.0
1510748520088287115,0.0,0.6,-0.0
1510748520093554973,0.0,0.6,-0.0
1510748520099419116,0.0,0.6,-0.0
1510748520102930068,0.0,0.6,-0.0
1510748520110691070,0.0,0.6,-0.0
1510748520112999916,0.0,0.6,-0.0
1510748520118628025,0.0,0.6,-0.0
1510748520125494956,0.0,0.6,-0.0
1510748520132474899,0.0,0.6,-0.0
1510748520133371114,0.0,0.6,-0.0
1510748520138520956,0.0,0.6,-0.0
1510748520143361091,0.0,0.6,-0.0
1510748520152223110,0.0,0.6,-0.0
1510748520153579950,0.0,0.6,-0.0
1510748520172735929,0.0,0.6,-0.0
1510748520173537015,0.0,0.6,-0.0
1510748520176459074,0.0,0.6,-0.0
1510748520177659988,0.0,0.6,-0.0
1510748520180095911,0.0,0.6,-0.0
1510748520186012983,0.0,0.6,-0.0
1510748520198421955,0.0,0.6,-0.0
1510748520198673963,0.0,0.6,-0.0
1510748520201946973,0.0,0.6,-0.0
1510748520203419923,0.0,0.6,-0.0
1510748520212743043,0.0,0.6,-0.0
1510748520214982032,0.0,0.6,-0.0
1510748520220010995,0.0,0.6,-0.0
1510748520226185083,0.0,0.6,-0.0
1510748520231439113,0.0,0.6,-0.0
1510748520265125989,0.0,0.6,-0.0
1510748520268244981,0.0,0.6,-0.0
1510748520270478010,0.0,0.6,-0.0
1510748520271482944,0.0,0.6,-0.0
1510748520273601055,0.0,0.6,-0.0
1510748520282444000,0.0,0.6,-0.0
1510748520282922983,0.0,0.6,-0.0
1510748520287563085,0.0,0.6,-0.0
1510748520287772893,0.0,0.6,-0.0
1510748520288409948,0.0,0.6,-0.0
1510748520290657043,0.0,0.6,-0.0
1510748520296433925,0.0,0.6,-0.0
1510748520298831939,0.0,0.6,-0.0
1510748520303652048,0.0,0.6,-0.0
